epoch,train_loss,val_loss,lr
0,0.6916122768074274,0.6251123663451936,0.0006666666666666666
1,0.4452354297041893,0.3078543436196115,0.001
2,0.23951616203412412,0.20450546344121298,0.001
3,0.2029696793295443,0.18960968653361002,0.001
4,0.19639954268932341,0.1899693844219049,0.001
5,0.19335549082607031,0.28211599091688794,0.001
6,0.18886358439922332,0.1527191632323795,0.001
7,0.17894274275749922,0.12732616956863138,0.001
8,0.17862140331417323,0.18529181968834665,0.001
9,0.17885894626379012,0.1380425157646338,0.001
10,0.1835635058116168,0.13195079896185133,0.001
11,0.17986560985445976,0.1519927932984299,0.001
12,0.1776428828947246,0.13987993076443672,0.0005
13,0.176628134585917,0.15216245336665046,0.0005
14,0.17429166445508598,0.13568837423291472,0.0005
15,0.17454885952174665,0.1411154746181435,0.0005
16,0.17510105539113283,0.1429576679236359,0.0005
17,0.16865958971902728,0.13414756519099078,0.00025
18,0.17170738689601422,0.13275084789428446,0.00025
19,0.1654248439706862,0.13154121757381493,0.00025
20,0.17185830567032098,0.14151833578944206,0.00025
21,0.16735465778037906,0.1334564338127772,0.00025
22,0.1732411662116647,0.13459904574685627,0.000125
