backbone,c_star,kappa_star,val_r_auuc,tau_qini,tau_auuc,tau_uplift@5,tau_uplift@10,tau_uplift@20,tau_uplift@30,r_qini,r_auuc,r_uplift@5,r_uplift@10,r_uplift@20,r_uplift@30,r_minus_tau_qini,r_minus_tau_uplift@20
CFRNet,0.001024,2.222012265112081,0.000929425434275212,0.15682167422623786,0.000894810192935685,0.010539287810885214,0.007312132619462008,0.004224237734780811,0.003041243853271228,0.15040547978929847,0.0008790447131252101,0.010979246054910463,0.0070233620964052675,0.0042503763021238695,0.003008491049816718,-0.0064161944369393875,2.6138567343058153e-05
T-Learner,0.001024,3.0,0.0009278217675368442,0.13728572398106106,0.0008452784396214391,0.00981307761523574,0.0065819623452849085,0.003960698131694097,0.0027675429725070597,0.14340134830676002,0.0008611080443478147,0.00859955019644933,0.006754727499263466,0.004267146332096256,0.0029791020892469744,0.006115624325698954,0.00030644820040215924
TARNet,0.001024,3.0,0.0009258756460759225,0.1525496008637738,0.0008836499964242896,0.010165886551299921,0.006831863990666404,0.00413568311657842,0.003002534843041485,0.15172168459580654,0.0008820155519111331,0.009680801314003055,0.0069338621562112755,0.004288298559445547,0.0030411893396934363,-0.0008279162679672714,0.0001526154428671267
CausalForest,0.001024,2.222012265112081,0.0009212563014046179,0.13921572136547622,0.0008509566854426093,0.01096711512270029,0.006876308278703103,0.0040950075541047615,0.002854707082405922,0.13569984967000664,0.0008421764153778616,0.007944319389007908,0.006892392407937462,0.004132570805354873,0.0029045504106459787,-0.0035158716954695746,3.756325125011187e-05
DR-Learner,0.001024,0.668724508653783,0.0009041740219578533,0.09088636749597023,0.0007276728097577701,0.007498998179896202,0.0047397805000769285,0.002918833163835452,0.0021881916913173895,0.13591725840210295,0.0008420744527784996,0.007521809856580023,0.0067801417193015315,0.004082418848407321,0.002900918191291812,0.045030890906132715,0.0011635856845718688
S-Learner,0.001024,0.2012556255857061,0.0008977120071989235,0.13323220253569268,0.0008348895986691976,0.009323299945840996,0.00673154951598284,0.003905275799599003,0.002733589476417152,0.13719633610962426,0.0008453219371068238,0.008965720899049404,0.006625087669814591,0.00413286074270227,0.002902268376792726,0.0039641335739315775,0.00022758494310326678
X-Learner,0.005,1.218980746447521,0.0008859443606332496,0.11225659157656068,0.0007819539298282763,0.009408355646368476,0.006118028800147512,0.0035260942465337834,0.0024057826346404404,0.12365861986201429,0.000811131378526049,0.010021810725737393,0.006728845442504589,0.003950835097542222,0.0027687927770093665,0.011402028285453614,0.0004247408510084389
