ablation,ATE,CATE_Mean,CATE_Std,Qini,AUUC,Uplift@5%,Uplift@10%,Uplift@20%,Uplift@30%,PolicyValue,TargetFrac,note
A0_full,0.006873919223993451,0.11432200496276484,0.011735078642069848,0.0030106063808981987,0.008652945725211922,0.06583839682881187,0.05169634293730635,0.0382624835325967,0.029205691081380797,0.045239646228352956,0.08908556710519476,
A1_no_reliability,0.006873919223993451,0.006873919223993451,0.011735078642069848,0.002354852776105303,0.007879288019117983,0.06819145947747518,0.05146434322901311,0.033292642393108585,0.02455848100514843,0.045239646228352956,0.08908556710519476,
A2_raw_cate,0.006873919223993451,0.006873919223993451,0.011735078642069848,0.002354852776105303,0.007879288019117983,0.06819145947747518,0.05146434322901311,0.033292642393108585,0.02455848100514843,0.045239646228352956,0.08908556710519476,
A3_no_uncertainty,0.006873919223993451,0.08908556710519476,0.011735078642069848,0.002236841430258133,0.007744359521193593,0.05152756812695777,0.05131778897661335,0.031909440397630065,0.0238403896660455,0.045239646228352956,0.08908556710519476,
A4_no_threshold_c,0.006873919223993451,0.7351270352673253,0.011735078642069848,0.0009052348473334881,0.006182396178107816,0.04661809690964168,0.04450831869802413,0.02561850992389733,0.017884966017849703,0.04850833571325573,1.0,
A5_no_attribution,0.006873919223993451,0.11432200496276484,0.011735078642069848,0.0030106063808981987,0.008652945725211922,0.06583839682881187,0.05169634293730635,0.0382624835325967,0.029205691081380797,0.045239646228352956,0.08908556710519476,decision=A0; explanation removed
A6_no_calibration,0.006873919223993451,0.11432200496276484,0.011735078642069848,0.0030106063808981987,0.008652945725211922,0.06583839682881187,0.05169634293730635,0.0382624835325967,0.029205691081380797,0.045239646228352956,0.08908556710519476,
A7_fixed_threshold,0.006873919223993451,0.7351270352673253,0.011735078642069848,0.0009052348473334881,0.006182396178107816,0.04661809690964168,0.04450831869802413,0.02561850992389733,0.017884966017849703,0.04850833571325573,1.0,
A8_c=0.005,0.006873919223993451,0.3919536000833821,0.011735078642069848,0.002927040014040542,0.008556284645662424,0.055702777964958566,0.04977492228994515,0.03723286222554695,0.02905015598225008,0.04595254238611511,0.17236123702215467,
A8_c=0.05,0.006873919223993451,0.042539161177303386,0.011735078642069848,0.002956501860792338,0.008590670809614894,0.06617343596395342,0.051572303650262274,0.038367045315057996,0.028904103189522065,0.04207103495680143,0.02481426498338769,
A9_gamma=0.5,0.006873919223993451,0.11432200496276484,0.011735078642069848,0.0030106063808981987,0.008652945725211922,0.06583839682881187,0.05169634293730635,0.0382624835325967,0.029205691081380797,0.045239646228352956,0.08908556710519476,
A9_gamma=0.9,0.006873919223993451,0.11432200496276484,0.011735078642069848,0.0030106063808981987,0.008652945725211922,0.06583839682881187,0.05169634293730635,0.0382624835325967,0.029205691081380797,0.03929192499568786,0.01013286509526505,
A10_altCATE_Xlearner,0.006873919223993451,0.1185950855804844,0.011735078642069848,0.003086201581567154,0.008741711617909103,0.07271141248889035,0.057306800746275505,0.03881564930654677,0.028990067290993432,0.0460825439683707,0.10390192561633886,
