reliability_decile,policy_value
1,0.04548188443594456
2,0.040482972883514275
3,0.03851724963882009
4,0.038365083805864265
5,0.03834576216352601
6,0.038300812129850016
7,0.03827437326449044
8,0.03827436873008823
9,0.038252863613501414
10,0.0383757016462301
