reliability_decile,policy_value
1,0.0029157793987514237
2,0.002098841061432397
3,0.002088884781967783
4,0.0020628819413720466
5,0.0020696013209721975
6,0.0020748350624426575
7,0.0020596903855296363
8,0.002061562169998918
9,0.0020596903855296367
10,0.002127429031947927
