backbone,c_star,kappa_star,val_r_auuc,tau_qini,tau_auuc,tau_uplift@5,tau_uplift@10,tau_uplift@20,tau_uplift@30,r_qini,r_auuc,r_uplift@5,r_uplift@10,r_uplift@20,r_uplift@30,r_minus_tau_qini,r_minus_tau_uplift@20
TARNet,0.0,0.01,0.009293517161143952,0.09225171164706936,0.00899815614389881,0.0968224988649759,0.06720914712210632,0.04032955710080996,0.030031402668066184,0.09096776479696674,0.008945677384173956,0.07337551520484753,0.0638058883193284,0.040620550336946615,0.029568043797411195,-0.0012839468501026213,0.0002909932361366552
S-Learner,0.005,0.013501275609964633,0.009209918467375702,0.08934854168360766,0.00887622692261576,0.09113819309820748,0.06034260219280907,0.04001595280128159,0.029436986661381018,0.0892171184790382,0.008875254405076772,0.08942907111418033,0.06438256062016176,0.03975652421165429,0.029496949509338122,-0.0001314232045694641,-0.0002594285896272974
CFRNet,0.005,0.013501275609964633,0.00919938445712416,0.0892922644107155,0.008874788539058001,0.08399206421343952,0.061588180092666145,0.04025247279893315,0.029836411549490335,0.08880871640834032,0.008860374983006482,0.0765971150829853,0.062099105899468016,0.04061025493104273,0.029308093770988863,-0.0004835480023751837,0.0003577821321095742
CausalForest,0.010649,0.01,0.009165912970655886,0.08363263392309558,0.008636696814737502,0.08408029718830312,0.05932763443598679,0.04026414997138353,0.028986663690457146,0.08768028269612728,0.008814430997671045,0.07323815727525737,0.06022718728124646,0.03816169567755284,0.029803872635056808,0.004047648773031695,-0.0021024542938306856
X-Learner,0.02,3.0,0.009093762191334823,0.0791527913077828,0.008450053224788758,0.0763254861585132,0.05701713229641933,0.038335106360598795,0.027696356730872007,0.08517061103401748,0.008709982023199529,0.06837108602053571,0.05639683967036546,0.03833916206284918,0.029115943753585297,0.006017819726234677,4.055702250385651e-06
T-Learner,0.02,0.01,0.009047542042933546,0.07434520349292162,0.008249252842353226,0.07341083649668795,0.05634287056637094,0.036536323961234754,0.026516015783600785,0.08515773959403926,0.008709688008232441,0.07007983646352925,0.057120618840013654,0.03864559186217453,0.029332513605909757,0.01081253610111764,0.002109267900939779
DR-Learner,0.02,0.033227618194901214,0.008981153567872626,0.065556154621411,0.007879288019117983,0.06819145947747518,0.05146434322901311,0.033292642393108585,0.02455848100514843,0.08381157660827455,0.008652948226237274,0.06583839682881187,0.05169634293730635,0.0382624835325967,0.029205691081380797,0.018255421986863557,0.004969841139488118
