Outcome,ablation,ATE,CATE_Mean,CATE_Std,Qini,AUUC,Uplift@5%,Uplift@10%,Uplift@20%,Uplift@30%,PolicyValue,TargetFrac,note
visit,A0_full,0.0068739192239934,0.1143220049627648,0.0117350786420698,0.0030106063808981,0.0086529457252119,0.0658383968288118,0.0516963429373063,0.0382624835325967,0.0292056910813807,0.0452396462283529,0.0890855671051947,
visit,A1_no_reliability,0.0068739192239934,0.0068739192239934,0.0117350786420698,0.0023548527761053,0.0078792880191179,0.0681914594774751,0.0514643432290131,0.0332926423931085,0.0245584810051484,0.0452396462283529,0.0890855671051947,
visit,A2_raw_cate,0.0068739192239934,0.0068739192239934,0.0117350786420698,0.0023548527761053,0.0078792880191179,0.0681914594774751,0.0514643432290131,0.0332926423931085,0.0245584810051484,0.0452396462283529,0.0890855671051947,
visit,A3_no_uncertainty,0.0068739192239934,0.0890855671051947,0.0117350786420698,0.0022368414302581,0.0077443595211935,0.0515275681269577,0.0513177889766133,0.03190944039763,0.0238403896660455,0.0452396462283529,0.0890855671051947,
visit,A4_no_threshold_c,0.0068739192239934,0.7351270352673253,0.0117350786420698,0.0009052348473334,0.0061823961781078,0.0466180969096416,0.0445083186980241,0.0256185099238973,0.0178849660178497,0.0485083357132557,1.0,
visit,A5_no_attribution,0.0068739192239934,0.1143220049627648,0.0117350786420698,0.0030106063808981,0.0086529457252119,0.0658383968288118,0.0516963429373063,0.0382624835325967,0.0292056910813807,0.0452396462283529,0.0890855671051947,decision=A0; explanation removed
visit,A6_no_calibration,0.0068739192239934,0.1143220049627648,0.0117350786420698,0.0030106063808981,0.0086529457252119,0.0658383968288118,0.0516963429373063,0.0382624835325967,0.0292056910813807,0.0452396462283529,0.0890855671051947,
visit,A7_fixed_threshold,0.0068739192239934,0.7351270352673253,0.0117350786420698,0.0009052348473334,0.0061823961781078,0.0466180969096416,0.0445083186980241,0.0256185099238973,0.0178849660178497,0.0485083357132557,1.0,
visit,A8_c=0.005,0.0068739192239934,0.3919536000833821,0.0117350786420698,0.0029270400140405,0.0085562846456624,0.0557027779649585,0.0497749222899451,0.0372328622255469,0.02905015598225,0.0459525423861151,0.1723612370221546,
visit,A8_c=0.05,0.0068739192239934,0.0425391611773033,0.0117350786420698,0.0029565018607923,0.0085906708096148,0.0661734359639534,0.0515723036502622,0.0383670453150579,0.028904103189522,0.0420710349568014,0.0248142649833876,
visit,A9_gamma=0.5,0.0068739192239934,0.1143220049627648,0.0117350786420698,0.0030106063808981,0.0086529457252119,0.0658383968288118,0.0516963429373063,0.0382624835325967,0.0292056910813807,0.0452396462283529,0.0890855671051947,
visit,A9_gamma=0.9,0.0068739192239934,0.1143220049627648,0.0117350786420698,0.0030106063808981,0.0086529457252119,0.0658383968288118,0.0516963429373063,0.0382624835325967,0.0292056910813807,0.0392919249956878,0.010132865095265,
visit,A10_altCATE_Xlearner,0.0068739192239934,0.1185950855804844,0.0117350786420698,0.0030862015815671,0.0087417116179091,0.0727114124888903,0.0573068007462755,0.0388156493065467,0.0289900672909934,0.0460825439683707,0.1039019256163388,
conversion,A0_full,0.0005951836075717,0.4919869551913021,0.0011436869817899,0.0002952285978519,0.0008421119455042,0.00752180985658,0.0067801417193015,0.0040824188484073,0.0029009181912918,0.002579369397757,0.0467023599637376,
conversion,A1_no_reliability,0.0005951836075717,0.0005951836075717,0.0011436869817899,0.0001973948437273,0.0007276728097577,0.0074989981798962,0.0047397805000769,0.0029188331638354,0.0021881916913173,0.002579369397757,0.0467023599637376,
conversion,A2_raw_cate,0.0005951836075717,0.0005951836075717,0.0011436869817899,0.0001973948437273,0.0007276728097577,0.0074989981798962,0.0047397805000769,0.0029188331638354,0.0021881916913173,0.002579369397757,0.0467023599637376,
conversion,A3_no_uncertainty,0.0005951836075717,0.0467023599637376,0.0011436869817899,0.0001854565467879,0.0007138938692213,0.0074480516561461,0.0045641808031959,0.0028172387130546,0.002088436096148,0.002579369397757,0.0467023599637376,
conversion,A4_no_threshold_c,0.0005951836075717,0.5282372396120361,0.0011436869817899,-2.706399091232186e-05,0.0004645585888686,0.0054381600861614,0.0037632346387891,0.0020631625828395,0.0014118265182595,0.0030567741942723,1.0,
conversion,A5_no_attribution,0.0005951836075717,0.4919869551913021,0.0011436869817899,0.0002952285978519,0.0008421119455042,0.00752180985658,0.0067801417193015,0.0040824188484073,0.0029009181912918,0.002579369397757,0.0467023599637376,decision=A0; explanation removed
conversion,A6_no_calibration,0.0005951836075717,0.4919869551913021,0.0011436869817899,0.0002952285978519,0.0008421119455042,0.00752180985658,0.0067801417193015,0.0040824188484073,0.0029009181912918,0.002579369397757,0.0467023599637376,
conversion,A7_fixed_threshold,0.0005951836075717,0.5282372396120361,0.0011436869817899,-2.706399091232186e-05,0.0004645585888686,0.0054381600861614,0.0037632346387891,0.0020631625828395,0.0014118265182595,0.0030567741942723,1.0,
conversion,A8_c=0.005,0.0005951836075717,0.4146261199823858,0.0011436869817899,0.0002638455511581,0.0008057993561711,0.0099899469048814,0.0068756196542759,0.0039039836925063,0.0027514737422528,0.0024459342905485,0.0180982851670935,
conversion,A8_c=0.05,0.0005951836075717,0.0500376926371635,0.0011436869817899,0.0001457867742098,0.0006676752352999,0.0081852174627659,0.0055653462178544,0.0031962781383866,0.0022516920114087,0.0020624912606302,0.0,
conversion,A9_gamma=0.5,0.0005951836075717,0.4919869551913021,0.0011436869817899,0.0002952285978519,0.0008421119455042,0.00752180985658,0.0067801417193015,0.0040824188484073,0.0029009181912918,0.002579369397757,0.0467023599637376,
conversion,A9_gamma=0.9,0.0005951836075717,0.4919869551913021,0.0011436869817899,0.0002952285978519,0.0008421119455042,0.00752180985658,0.0067801417193015,0.0040824188484073,0.0029009181912918,0.0022766107075898,0.0234661094099542,
