ablation,ATE,CATE_Mean,CATE_Std,Qini,AUUC,Uplift@5%,Uplift@10%,Uplift@20%,Uplift@30%,PolicyValue,TargetFrac,note
A0_full,0.0005951836075717191,0.4919869551913021,0.001143686981789935,0.00029522859785197563,0.0008421119455042403,0.007521809856580023,0.0067801417193015315,0.004082418848407321,0.002900918191291812,0.002579369397757046,0.046702359963737616,
A1_no_reliability,0.0005951836075717191,0.0005951836075717191,0.001143686981789935,0.00019739484372734584,0.0007276728097577701,0.007498998179896202,0.0047397805000769285,0.002918833163835452,0.0021881916913173895,0.002579369397757046,0.046702359963737616,
A2_raw_cate,0.0005951836075717191,0.0005951836075717191,0.001143686981789935,0.00019739484372734584,0.0007276728097577701,0.007498998179896202,0.0047397805000769285,0.002918833163835452,0.0021881916913173895,0.002579369397757046,0.046702359963737616,
A3_no_uncertainty,0.0005951836075717191,0.046702359963737616,0.001143686981789935,0.0001854565467879677,0.0007138938692213472,0.007448051656146166,0.004564180803195908,0.002817238713054623,0.0020884360961480955,0.002579369397757046,0.046702359963737616,
A4_no_threshold_c,0.0005951836075717191,0.5282372396120361,0.001143686981789935,-2.706399091232186e-05,0.0004645585888686153,0.005438160086161454,0.003763234638789194,0.002063162582839555,0.0014118265182595613,0.0030567741942723633,1.0,
A5_no_attribution,0.0005951836075717191,0.4919869551913021,0.001143686981789935,0.00029522859785197563,0.0008421119455042403,0.007521809856580023,0.0067801417193015315,0.004082418848407321,0.002900918191291812,0.002579369397757046,0.046702359963737616,decision=A0; explanation removed
A6_no_calibration,0.0005951836075717191,0.4919869551913021,0.001143686981789935,0.00029522859785197563,0.0008421119455042403,0.007521809856580023,0.0067801417193015315,0.004082418848407321,0.002900918191291812,0.002579369397757046,0.046702359963737616,
A7_fixed_threshold,0.0005951836075717191,0.5282372396120361,0.001143686981789935,-2.706399091232186e-05,0.0004645585888686153,0.005438160086161454,0.003763234638789194,0.002063162582839555,0.0014118265182595613,0.0030567741942723633,1.0,
A8_c=0.005,0.0005951836075717191,0.4146261199823858,0.001143686981789935,0.00026384555115816844,0.0008057993561711639,0.009989946904881475,0.006875619654275984,0.003903983692506375,0.0027514737422528433,0.002445934290548516,0.01809828516709356,
A8_c=0.05,0.0005951836075717191,0.0500376926371635,0.001143686981789935,0.00014578677420989012,0.0006676752352999721,0.008185217462765942,0.005565346217854428,0.0031962781383866237,0.002251692011408751,0.0020624912606302514,0.0,
A9_gamma=0.5,0.0005951836075717191,0.4919869551913021,0.001143686981789935,0.00029522859785197563,0.0008421119455042403,0.007521809856580023,0.0067801417193015315,0.004082418848407321,0.002900918191291812,0.002579369397757046,0.046702359963737616,
A9_gamma=0.9,0.0005951836075717191,0.4919869551913021,0.001143686981789935,0.00029522859785197563,0.0008421119455042403,0.007521809856580023,0.0067801417193015315,0.004082418848407321,0.002900918191291812,0.0022766107075898887,0.023466109409954222,
A10_altCATE_Xlearner,0.0005951836075717191,0.4948763463115062,0.001143686981789935,0.00020632110089899888,0.000738447857900041,0.008035517130677888,0.0058149432345632815,0.0034308885409999688,0.0025137615143691026,0.002804935296713194,0.14615589676189913,
