epoch,train_loss,val_loss,lr
0,0.5777122043544733,0.39202065765857697,0.0006666666666666666
1,0.26854189367422576,0.16133531193648065,0.001
2,0.2072436797279346,0.147870416619948,0.001
3,0.18909339014959486,0.15236416054623467,0.001
4,0.18876494950603082,0.15315052824360983,0.001
5,0.18109286274713807,0.14412944614887238,0.001
6,0.183943540565198,0.15742555111646653,0.001
7,0.17547102758212935,0.1402406760624477,0.001
8,0.17300954435162152,0.14662152230739595,0.001
9,0.17686038051696518,0.1438270485826901,0.001
10,0.17361694871436192,0.15576041308896882,0.001
11,0.17150962340963793,0.1501160257628986,0.001
12,0.17261586312346067,0.15978346754397665,0.0005
13,0.16298382392129565,0.1436551207942622,0.0005
14,0.1596605427374568,0.1516665855688708,0.0005
15,0.15802832037399087,0.15198585827435765,0.0005
16,0.1562940501666899,0.1450607843697071,0.0005
17,0.15825218683745287,0.13339538925460406,0.0005
18,0.1577433708206385,0.13296864777803422,0.0005
19,0.1578464321556348,0.14316588235752922,0.0005
20,0.15212555998299696,0.14776180045945303,0.0005
21,0.15388823491580125,0.14853159636259078,0.0005
22,0.15396323349751248,0.15707474936332022,0.0005
23,0.15291402118775663,0.1375454316181796,0.00025
24,0.1500620084425694,0.14584796971508435,0.00025
25,0.14766258211169817,0.1728941122336047,0.00025
26,0.14889164014330394,0.15277609452605248,0.00025
27,0.14695654625568208,0.14935325671519553,0.00025
28,0.1504426572141768,0.14856629190700396,0.000125
29,0.1444538529207812,0.14714076731886183,0.000125
30,0.14590046326099318,0.14819957869393485,0.000125
31,0.1438678554436074,0.14083400890231132,0.000125
32,0.14468030346250987,0.14740870254380362,0.000125
33,0.14508054150810726,0.14857242203184537,6.25e-05
